source,Target,weight
59099,59689,2
75221,76289,1
11169,11161,1
7329,7319,13
68029,68019,2
59099,59072,1
68099,68069,2
67299,67309,2
21681,21691,5
7551,7531,8
9179,9213,2
67449,67419,4
67419,67599,4
60199,60059,1
42311,43621,6
5013,72011,1
46009,46549,14
83291,83101,3
2061,3019,1
13191,9048,10
70259,81229,2
66359,62141,8
53111,53121,2
72151,72161,1
21231,21451,3
12069,12119,2
61049,61039,13
10371,10171,1
56269,53099,3
76099,76089,12
70261,70271,10
78139,78149,5
28011,28181,5
61039,70069,5
70341,70321,1
84149,84089,5
75141,75131,4
16141,16151,4
76421,76439,1
46941,46489,1
52229,52201,1
76261,76271,2
84131,84029,1
65149,65401,5
21541,21189,1
70021,70031,10
94099,93049,2
84021,84139,1
24391,24401,1
67569,67579,2
55259,55029,1
18011,11511,5
10429,10419,1
81159,81149,4
65159,65209,1
63209,66149,2
50209,50199,6
98311,97049,1
64301,64311,1
48131,48129,3
17169,17159,7
78071,78069,4
84329,84319,2
71099,71089,8
90039,90029,3
1231,1211,2
24189,24179,1
80151,92249,1
41149,42089,1
12069,17229,1
71099,72059,3
70149,70139,5
22089,22331,1
11361,11189,7
43379,43329,3
11189,11179,9
21059,21079,2
82032,82033,1
27349,22349,1
16069,16039,1
60161,60201,8
19021,19031,10
46881,46891,1
84359,84199,2
63249,63139,2
47659,47649,1
78279,78269,1
46549,46539,14
20131,20141,5
55181,55301,1
25819,25519,1
40219,40209,6
29109,29099,1
54201,55131,6
50059,50049,15
44659,44791,1
52509,52251,5
57061,57071,5
23259,23439,1
14519,14521,1
67271,67461,5
67221,67131,1
47619,47609,3
16151,17121,1
63051,63349,5
15139,15129,2
25561,25571,1
67519,67509,2
23189,23179,1
76129,76119,3
4339,4219,4
97201,97061,2
13011,42151,1
54589,54289,2
84361,84309,2
58299,58241,2
26209,25469,3
78151,78161,1
45171,45161,1
20259,20161,4
2171,3509,8
62141,63141,3
58379,58289,3
76191,76151,1
10249,10389,1
24349,24341,1
28159,28149,1
68091,68081,2
49051,49061,1
43339,43329,1
54309,54299,8
4029,8041,3
22149,23279,1
66471,66481,1
23171,23181,1
46141,46151,3
98091,78211,3
81051,81119,1
43452,28111,1
30029,30019,4
80259,80219,3
44609,44679,1
22249,22259,3
4121,8079,4
66461,66471,4
14141,14129,2
76541,76511,1
67541,67761,1
14129,14119,18
14329,14491,1
3223,3151,21
63331,63341,6
28391,28529,3
52011,53219,1
62079,75251,1
53381,53381,1
70191,70201,3
67701,67741,1
18149,18141,1
4251,4211,4
96109,85079,3
14081,14101,8
77009,77139,2
22011,22021,1
67649,67699,1
45069,45059,7
65251,65221,1
81229,81219,4
6011,6051,7
21671,21649,1
43389,43379,1
10161,10381,2
82061,84011,1
25781,25791,1
10389,10171,2
72049,72039,6
53391,53381,9
40081,40231,3
24431,24441,1
72071,84499,9
51131,52011,4
52079,50059,4
17039,17389,7
92079,92301,1
66099,54601,1
58159,58109,3
28401,28541,2
18261,18271,3
21381,21169,1
52179,52169,2
64249,64239,3
43699,28629,7
59009,59141,3
93021,93121,2
96389,96301,1
76339,76061,1
53371,53371,1
63281,63099,1
70251,70379,2
10499,10051,1
14539,14529,1
54211,54221,4
21019,20089,4
63141,66379,1
70371,70261,1
62139,66381,2
55089,55079,6
24009,23519,5
65191,65071,2
62161,62171,1
21151,21041,3
68051,55281,1
26259,26269,2
52191,52201,2
64571,64371,1
28651,28231,1
64041,64051,12
45121,45131,9
60051,60191,2
84041,84191,4
28269,28259,5
30021,30031,2
66129,66119,4
22009,21699,2
71209,71119,3
83141,83031,1
53221,53301,2
67691,67641,1
46901,46911,1
11339,11329,3
44009,44491,2
7379,1319,3
59179,59241,1
55181,59031,1
46301,46311,2
59751,59471,1
97039,97141,1
43419,43401,11
84579,84589,3
66291,66221,1
64231,64241,3
4222,4211,14
46059,46049,5
70031,70041,3
17259,17049,3
46431,46441,1
70321,70311,1
43009,43179,7
10041,10051,6
43321,43331,2
84609,84639,10
46519,46509,7
83121,83131,1
95099,95089,3
25269,25231,2
80151,80161,6
42169,42159,11
23501,23091,1
76159,76149,1
64601,64611,5
76419,76109,4
77059,78171,1
46111,46141,1
40329,43349,1
70131,70279,1
52391,52481,2
16049,16039,6
44671,44601,1
43029,43019,11
46879,46869,2
46481,46731,2
2061,4167,12
44771,44349,4
8057,8041,1
81129,81119,10
84121,84131,7
63051,63249,1
14339,14329,1
52201,52171,2
17021,17381,5
53401,53401,1
76051,75009,1
46381,45139,5
59471,59461,3
78241,78089,2
16101,16111,1
53021,53171,1
46559,46569,1
18069,18089,1
51059,51049,11
6171,6031,2
59121,59131,3
40031,40041,7
19059,17099,2
44329,40239,1
43459,43761,3
76109,96129,4
67121,67531,1
58389,47629,2
55309,55159,4
49211,49141,1
77331,75359,3
45079,45069,7
34021,34031,1
43531,43341,7
65071,65081,1
66079,66069,5
83139,83129,3
43441,43231,2
28021,28031,5
18191,18211,1
81231,81081,2
44239,44249,7
26141,26151,1
24229,24219,1
43239,43449,2
67759,67409,1
85099,84101,5
81011,81031,11
66019,52069,4
24219,24209,1
50041,50051,13
43479,43489,5
3071,3381,9
63101,52089,1
11381,11181,8
4111,4121,28
25399,26209,1
1521,1231,2
65191,65069,4
53049,53049,1
66429,66349,1
65331,65149,1
51069,51059,8
65079,3223,1
23091,23101,1
67379,67761,1
40239,40229,6
20341,20331,1
63041,63051,11
65381,65391,1
30051,30091,2
10441,10119,1
82129,81199,2
17179,17169,8
67199,67189,5
54539,54311,3
5129,5319,4
98019,50129,1
46399,46289,8
44261,48011,1
50211,50221,6
25129,25119,1
66109,66421,1
2149,2159,3
66141,63189,2
78081,78071,4
31039,31029,2
45329,45351,1
11231,11261,5
63341,63249,6
3071,3011,1
7518,4019,6
85089,85069,5
19039,19029,7
1012,1112,6
58171,58181,2
43249,43161,1
76191,76149,7
10191,10201,7
97011,97031,2
42151,42161,12
10379,10081,2
25449,25439,5
10211,10299,1
27479,27451,1
52031,52051,3
52089,52079,5
43831,43491,7
21509,21499,1
17389,17299,1
85091,96201,1
82071,82081,6
63379,63389,5
97041,97051,2
58341,58311,3
48071,48081,1
25691,26101,1
21179,21049,3
43691,43519,1
10171,10359,2
45119,45109,6
80279,91099,7
67661,67671,1
76121,75079,2
95901,96041,2
13199,13159,7
65469,65459,1
31031,31041,2
47039,47029,1
